,full_name,rating,jersey,team,position,b_day,height_inInches,height_inMeters,weight_inlbs,weight_inkg,salary,country,draft_year,draft_round,draft_peak,college
380,Alen Smailagic,71,6,Golden State Warriors,F,08/18/00,6.08,2.08,215,97.5,898310,Serbia,2019,2,39,Kansas State
381,Eric Paschall,71,7,Golden State Warriors,F,11/04/96,6.5,1.98,255,115.7,898310,USA,2019,2,41,Villanova
382,Carsen Edwards,71,4,Boston Celtics,G,03/12/98,5.08,1.8,200,90.7,1228026,USA,2019,2,33,Purdue
383,KZ Okpala,71,4,Miami Heat,F,04/28/99,6.67,2.03,215,97.5,898310,USA,2019,2,32,Stanford
384,Shake Milton,71,18,Philadelphia 76ers,C,09/26/96,6.42,1.96,205,93.0,1445697,USA,2018,2,54,SMU
385,Chimezie Metu,71,7,San Antonio Spurs,F,03/22/97,6.75,2.06,225,102.1,1416852,Nigeria,2018,2,49,USC
386,Keita Bates-Diop,70,0,Denver Nuggets,F,01/23/96,6.67,2.03,235,106.6,1416852,USA,2018,2,48,Ohio State
387,Darius Bazley,70,7,Oklahoma City Thunder,F,06/12/00,6.67,2.03,200,90.7,2284800,USA,2019,1,23,Kentucky
388,Tony Bradley,70,13,Utah Jazz,F-C,01/08/98,6.08,2.08,248,112.5,1962360,USA,2017,1,28,North Carolina
389,Hamidou Diallo,70,6,Oklahoma City Thunder,G,07/31/98,6.42,1.96,198,89.8,1416852,USA,2018,2,45,Kentucky
390,Melvin Frazier,70,35,Orlando Magic,F,08/30/96,6.42,1.96,201,91.2,1416852,USA,2018,2,35,Tulane
391,Solomon Hill,70,44,Miami Heat,F,03/18/91,6.5,1.98,226,102.5,13290395,USA,2013,1,23,Arizona
392,Alize Johnson,70,24,Indiana Pacers,F,04/26/96,6.58,2.01,201,91.2,1416852,USA,2018,2,50,Missouri State
393,Skal Labissiere,70,0,Atlanta Hawks,C-F,03/18/96,6.08,2.08,216,98.0,2338846,Haiti,2016,1,28,Kentucky
394,Tyler Lydon,70,0,Washington Wizards,F-C,04/09/96,6.75,2.06,220,99.8,50000,USA,2017,1,24,Syracuse
395,Sviatoslav Mykhailiuk,70,19,Detroit Pistons,G,06/10/97,6.58,2.01,205,93.0,1416852,Ukraine,2018,2,47,Kansas
396,Johnathan Motley,70,15,Los Angeles Clippers,F,05/04/95,6.67,2.03,230,104.3,79568,USA,2017,1,12,Baylor
397,Abdel Nader,70,11,Oklahoma City Thunder,F,09/25/93,6.42,1.96,225,102.1,1618520,Egypt,2016,2,58,Iowa State
398,Miles Plumlee,70,0,Washington Wizards,F-C,09/01/88,6.08,2.11,255,115.7,12500000,USA,2012,1,26,Duke
399,Caleb Swanigan,70,50,Portland Trail Blazers,C,04/18/97,6.75,2.06,249,112.9,2033160,USA,2017,1,26,Purdue
400,Jarred Vanderbilt,70,0,Minnesota Timberwolves,F,04/03/99,6.75,2.06,214,97.1,1416852,USA,2018,2,41,Kentucky
401,Jemerrio Jones,70,0,Washington Wizards,F,04/09/95,6.42,1.96,201,91.2,195077,USA,2018,1,25,New Mexico State
402,Jordan Poole,70,3,Golden State Warriors,G,06/19/99,6.33,1.93,194,88.0,1964760,USA,2019,1,28,Michigan
403,Talen Horton-Tucker,70,5,Los Angeles Lakers,G,11/20/00,6.33,1.93,234,106.1,898310,USA,2019,2,46,Iowa State
